epoch,step,train_loss_epoch,train_loss_step,val/mae,val/r2,val/rmse,val_loss
0,7,,,0.6818910837173462,-0.013020157814025879,0.8634493947029114,0.7455448508262634
0,7,0.9771959185600281,,,,,
1,15,,,0.7034242749214172,0.00011396408081054688,0.8578336834907532,0.735878586769104
1,15,0.8494831919670105,,,,,
2,23,,,0.6964269876480103,0.03273284435272217,0.8437252640724182,0.7118722796440125
2,23,0.7970162034034729,,,,,
3,31,,,0.6419422030448914,0.13081425428390503,0.7998050451278687,0.6396880745887756
3,31,0.7263287305831909,,,,,
4,39,,,0.7087931036949158,0.042932987213134766,0.8392648100852966,0.7043653726577759
4,39,0.6952363848686218,,,,,
5,47,,,0.6020206212997437,0.22249317169189453,0.7564495205879211,0.5722158551216125
5,47,0.6324854493141174,,,,,
6,49,,0.6519178152084351,,,,
6,55,,,0.6339621543884277,0.2150273323059082,0.760072648525238,0.5777103900909424
6,55,0.6406245231628418,,,,,
7,63,,,0.6436063647270203,0.20714175701141357,0.7638808488845825,0.5835139155387878
7,63,0.5684830546379089,,,,,
8,71,,,0.6210207939147949,0.25246524810791016,0.7417260408401489,0.5501574873924255
8,71,0.5471011400222778,,,,,
9,79,,,0.6488840579986572,0.2052018642425537,0.7648147344589233,0.5849416255950928
9,79,0.5361600518226624,,,,,
10,87,,,0.6104177236557007,0.28948724269866943,0.7231256365776062,0.5229107141494751
10,87,0.5189937353134155,,,,,
11,95,,,0.5841714143753052,0.3349279761314392,0.6996198892593384,0.4894680082798004
11,95,0.5041264295578003,,,,,
12,99,,0.4034651815891266,,,,
12,103,,,0.6125664710998535,0.28693610429763794,0.7244226932525635,0.5247882604598999
12,103,0.4818422198295593,,,,,
13,111,,,0.6031042337417603,0.30534547567367554,0.7150102257728577,0.5112396478652954
13,111,0.47743821144104004,,,,,
14,119,,,0.5779322385787964,0.351251482963562,0.690980851650238,0.4774545431137085
14,119,0.4694622755050659,,,,,
